width 900
height 600
score 0
spaceship 450.0,300.0,90,0
fuel 500
asteroids_count 10
asteroid_large 111.0,169.0,36,10
asteroid_small 756.0,384.0,85,11
asteroid_small 651.0,61.0,334,12
asteroid_small 132.0,124.0,94,13
asteroid_large 480.0,421.0,320,14
asteroid_large 187.0,286.0,126,15
asteroid_large 53.0,347.0,235,16
asteroid_large 856.0,242.0,22,17
asteroid_large 361.0,304.0,140,18
asteroid_large 856.0,242.0,22,17
bullets_count 0
upcoming_asteroids_count 28
upcoming_asteroid_small 176.0,514.0,254,6
upcoming_asteroid_large 291.0,407.0,41,7
upcoming_asteroid_small 443.0,402.0,356,8
upcoming_asteroid_small 625.0,225.0,27,9
upcoming_asteroid_large 120.0,449.0,113,2
upcoming_asteroid_small 21.0,305.0,256,3
upcoming_asteroid_large 378.0,569.0,37,4
upcoming_asteroid_large 56.0,180.0,218,5
upcoming_asteroid_small 225.0,373.0,258,6
upcoming_asteroid_small 102.0,88.0,305,7
upcoming_asteroid_large 553.0,438.0,219,8
upcoming_asteroid_small 680.0,434.0,149,9
upcoming_asteroid_large 111.0,169.0,36,10
upcoming_asteroid_small 756.0,384.0,85,11
upcoming_asteroid_small 651.0,61.0,334,12
upcoming_asteroid_small 132.0,124.0,94,13
upcoming_asteroid_large 480.0,421.0,320,14
upcoming_asteroid_large 187.0,286.0,126,15
upcoming_asteroid_large 53.0,347.0,235,16
upcoming_asteroid_large 856.0,242.0,22,17
upcoming_asteroid_large 361.0,304.0,140,18
upcoming_asteroid_large 563.0,433.0,281,19
upcoming_asteroid_large 532.0,76.0,74,5
upcoming_asteroid_small 176.0,514.0,254,6
upcoming_asteroid_large 291.0,407.0,41,7
upcoming_asteroid_small 443.0,402.0,356,8
upcoming_asteroid_small 625.0,225.0,27,9
upcoming_asteroid_large 625.0,225.0,27,9
